Query	Candidate	Label
저 예쁘니까 봐주세요	저 말아주세여	0
저 예쁘니까 봐주세요	저라고 외쳐 보아요	0
저 예쁘니까 봐주세요	아 봐주세요	>
저 예쁘니까 봐주세요	저에게 관심 조금만 주세요	0
저 예쁘니까 봐주세요	말이나 해보세요	0
저 예쁘니까 봐주세요	저정도는 봐주세요	0
저 예쁘니까 봐주세요	함 까보세요	0
저 예쁘니까 봐주세요	제말이나 들어주세요	0
저 예쁘니까 봐주세요	반말하셔도 됩니다	0
저 예쁘니까 봐주세요	나관심 가져 주세요	0
저 예쁘니까 봐주세요	저만 바라봐주세요	0
저 예쁘니까 봐주세요	우씨 특별히 제가 봐드림	0
저 예쁘니까 봐주세요	예 보여주세요	0
저 예쁘니까 봐주세요	제가 이렇게 어립니다	0
저 예쁘니까 봐주세요	정정 부탁드립니다	0
저 예쁘니까 봐주세요	님이 보여주시면요	0
저 예쁘니까 봐주세요	바래요 바라요	0
저 예쁘니까 봐주세요	옛날 사람의 센스를 보여주세요	0
저 예쁘니까 봐주세요	냉철한 평가 부탁드립니다	0
저 예쁘니까 봐주세요	제 프사를 보세요	0
오늘 월급날이에요!	오늘은 월급날이에요	1
오늘 월급날이에요!	이번주 월급날이에요	0
오늘 월급날이에요!	마지막날이 월급날이래요	0
오늘 월급날이에요!	내일이 월급날이예요	0
오늘 월급날이에요!	곧월급날이예요	0
오늘 월급날이에요!	월급날이 N일 남았어요	0
오늘 월급날이에요!	오늘 월차예요	0
오늘 월급날이에요!	아 월급날이여	0
오늘 월급날이에요!	오늘부터 휴가에요	0
오늘 월급날이에요!	오늘은 수금 마감날이에요	0
오늘 월급날이에요!	아 오늘 월급날이지	1
오늘 월급날이에요!	오늘까지 휴가에요	0
오늘 월급날이에요!	돈 나오는 휴무 예요	0
오늘 월급날이에요!	오늘은 월급날	1
오늘 월급날이에요!	이번주당직맞아요	0
오늘 월급날이에요!	오늘까지오프에요	0
오늘 월급날이에요!	오늘은 월급날이오	1
오늘 월급날이에요!	나 월화 휴가쓸거같아요	0
오늘 월급날이에요!	오늘 월급인데	1
오늘 월급날이에요!	오늘 월급날이지	1
당연하지	어 당연하지	1
당연하지	당연 당연 하지	1
당연하지	당연힌지	.
당연하지	당연하지 하	1
당연하지	당근 당연하지	1
당연하지	에 당연하지	1
당연하지	당연 나지	0
당연하지	음응 당연하지	1
당연하지	당연하지 응	1
당연하지	당연하지 이	1
당연하지	그 그럼 당연하지	1
당연하지	아 당연나죠	.
당연하지	반론이지	0
당연하지	응 난당연해	<
당연하지	당연하지 당연당연	1
당연하지	당연하지 아주 많이	1
당연하지	당연 확실하지	1
당연하지	당연하지 그 정돈	1
당연하지	엥 당연하지	1
당연하지	당연하지 그럼	1
잘자	움아 잘자	.
잘자	에 잘자	1
잘자	잘자가	.
잘자	잘자라게	.
잘자	이 잘자	.
잘자	잘자 잘자	1
잘자	누니잘자	.
잘자	미냐 잘자	.
잘자	잘자 악몽꾸지말고	<
잘자	노빠잘자	.
잘자	잘자 자키	.
잘자	애게잘자	.
잘자	잘자 안녕	<
잘자	잘자열	1
잘자	잘자맨	.
잘자	잘자 라야	1
잘자	잘자 해주	.
잘자	잘자그래이	1
잘자	잘자 잘자고	.
잘자	잘자 라	1
당신 좀 별로네요	좀 나네여	0
당신 좀 별로네요	전 별로 네요	0
당신 좀 별로네요	별로네요	0
당신 좀 별로네요	좀 너무한 거 같네요	0
당신 좀 별로네요	너 무 힘드네요	0
당신 좀 별로네요	좀 기분이 별루네요	0
당신 좀 별로네요	좀 너무하네요	0
당신 좀 별로네요	좀 아니네요	0
당신 좀 별로네요	그냥 전 별로네요	0
당신 좀 별로네요	하 기분 별로네요 나도	0
당신 좀 별로네요	저 시 진짜 많이 아는거 같아요	0
당신 좀 별로네요	기분이 딱히 안좋아보이네요	0
당신 좀 별로네요	별로에요 참	0
당신 좀 별로네요	하 별로네요	0
당신 좀 별로네요	약간이군요	0
당신 좀 별로네요	아 닌것같내요	0
당신 좀 별로네요	좀 싫으네요	0
당신 좀 별로네요	그냥 안좋네요	0
당신 좀 별로네요	너무 많이 주시네요	0
당신 좀 별로네요	좀 되네요	0
오늘 영화 안보게 됐어요	오늘 영화 세편봤어요	0
오늘 영화 안보게 됐어요	아 영화오늘 봤어요	0
오늘 영화 안보게 됐어요	오늘 영화 재미있었어요	0
오늘 영화 안보게 됐어요	오늘 귀향 봤어요	0
오늘 영화 안보게 됐어요	오늘 무한도전안해서 슬퍼요	0
오늘 영화 안보게 됐어요	저 오늘 연극 안 봤어요	0
오늘 영화 안보게 됐어요	오늘 영화 잘봤어요	0
오늘 영화 안보게 됐어요	오늘 영화 너무 잼있었어요	0
오늘 영화 안보게 됐어요	오늘 영화재밌었어요	0
오늘 영화 안보게 됐어요	내일 영화봐요 어제 못봤더거요	0
오늘 영화 안보게 됐어요	영화보러갈랬는데 일이 또 터졌네요	0
오늘 영화 안보게 됐어요	오늘 근데 잘못 방송했어요	0
오늘 영화 안보게 됐어요	아 저녁먹는중이라 못봤어요	0
