Query	Candidate	Label
너 몇살이야?	몇살?	1
너 몇살이야?	몇쨜?	1
잘가	잘가염	1
잘가	잘가시죠	1
잘가	빨리 가	0
잘가	잘까	0
잘가	잘까요?	0
잘가	잘갔어?	0
잘가	잘 도착했어?	0
안녕?	안녕이라고 말하지마	0
안녕?	하하 안녕하세요?	1
안녕?	안녕 잘가	0
안녕?	안녕하세요	1
안녕?	아니요?	0
안녕?	아니영?	0
잘자	안녕히 주무세요	1
잘자	그럼 안녕히 주무세요	1
잘자	그럼 잘자요	1
잘자	이제 자자	0
잘자	자장자장	0
바빠?	지금 바빠?	1
바빠?	빠빠	0
바빠?	이거좀 봐봐	0
바빠?	바이바이	0
바빠?	빠바 갈래?	0
너 재밌다	무한도전 재밌다	0
너 재밌다	너의 이름은 재밌다	0
너 재밌다	너 진짜 재밌네	1
너 재밌다	역시 난 재밌어	0
너 재밌다	너 재미없다	0
너 재밌다	너 재미있다	1
너 재밌다	되게 재밌네 너	1
사랑해	나 사랑해?	0
사랑해	많이많이 사랑해	1
사랑해	하늘만큼 땅만큼 사랑해	1
사랑해	많이 사랑했다	0
사랑해	별로 안 사랑해	0
고마워	고마해라	0
고마워	고마워해라	0
고마워	정말로 고마워요	1
고마워	너 미워	0
고마워	많이 고마웠다	0
천만에	천만원	0
천만에	그만해	0
천만에	천안에 가요	0
천만에	아니예요 천만에요	1
천만에	만에 하나	0
천만에	오천만의 함성	0
잘했어	잘했어?	0
잘했어	못했어	0
잘했어	잘했으면 좋겠다	0
잘했어	잘했었다고 생각했지만	0
미안해	전혀 안미안해	0
미안해	별로 안미안한거 같은데?	0
미안해	나한테 미안해?	1
미안해	진짜 많이 미안해	1
미안해	내가 정말 많이 미안해	1
미안해	이미 안해	0
미안해	미안하다	1
응	응응	1
응	응?	0
응	네네	1
응	응칠	0
응	웅	1
응	넵	1
응	응 당연하지	1
응	예스	1
응	예스예스	1
응	응? 아니	0
아니	아니오	1
아니	아니?	1
아니	아니아니	1
아니	너 이사람 아니?	0
아니	너 나 아니	0
아니	노우노우	1
아니	아나	0
아니	아니 그건 아니야	1
아니	아니야	1
그리웠어	그리워	0
그리웠어	그림 그리고 있었어	0
그리웠어	별로 안 그리웠어	0
그리웠어	나 그리웠어?	0
그리웠어	진짜 많이 그리웠어	1
그리웠어	많이 그리웠어	1
농담이야	농담이지?	0
농담이야	농담아니야	0
나 왔어	나 간다	0
나 왔어	맛있는거 사왔어	0
나 왔어	나 왔다잉	1
졸리다	안젤리나 졸리다	0
졸리다	졸리진 않아	0
졸리다	별로 안 졸리다	0
졸리다	이건 진리다	0
졸리다	으아아 너무너무 졸려요	1
졸리다	흐암 겁나 졸리네	1
슬프다	오늘의 메뉴는 스프다	0
슬프다	근데 별로 안슬프다	0
슬프다	으으... 슬프다	1
슬프다	슬퍼?	0
슬프다	슬프지도 않아	0
좋아	우와 좋아요	1
좋아	안좋아	0
좋아	조아조아	1
좋아	나 좋아?	0
좋아	히히 좋아	1
좋아	점점 좋아져	0
좋아	좋았으면 좋겠어	0
좋아	이게 더 좋은데?	0
좋아	좋아? 싫어?	0
좋아	그치만 좋아	<
싫어	시러	1
싫어	아 싫어	1
싫어	좋아? 싫어?	0
싫어	아 진짜 싫어	1
싫어	싫으면 시집가	0
싫어	시럽 많이 뿌려주세요	0
싫어	좋아	0
싫어	싫어어어어어어	1
