Query	Candidate	Label
전 친구가 많지는 않아요	난 친구가 많은 편은 아니야	1
제 친구들도 다 그러더라구요	내 친구들도 그러더라고	1
저랑 친구해요	나랑 친구하자	1
친구가 많은 편이에요?	넌 친구 많은 편이야?	1
정말 힘들 때 부를 수 있는 친구가 있다면 복받은거죠	힘들 때 부를 친구가 있다는게 복 받은 거지	1
저는 연애랑은 담쌓았어요	난 연애랑은 담쌓았어	1
지금 사귀는 사람 있어요?	지금 애인 있어?	1
연애하면 세상이 달라보인다잖아요	연애하면 세상이 달라보인다고들 하잖아	1
저도 고백해본적 있죠	나도 고백해본 적 있지	1
고백할꺼에요?	너 고백할꺼야?	1
고백하는 용기도 대단하다고 생각해요	용기있게 고백하는 것도 대단해	1
전 헤어지면 오랫동안 연애 생각이 안나던데	난 헤어지면 한동안 연애할 생각 안나던데	1
쿨하게 헤어지는게 가능할까요?	쿨하게 이별하는 것이 가능할까?	1
더 좋은 사람 만날꺼에요 힘내요	더 좋은 사람 만날꺼야 힘내	1
전 썸만 타다가 흐지부지 된 적도 많아요	난 썸만 타다가 흐지부지 된 적도 많아	1
썸타는 사람 있어요?	누구랑 썸타고 있어?	1
연애 시작하기 전에 썸 탈 때가 제일 좋다던데요	연애 전 썸 탈 때가 좋다던데	1
전 미팅보다는 소개 받는 게 더 좋아요	난 미팅보단 소개팅이 더 좋아	1
소개팅 받고 싶어요?	소개팅 받고 싶어?	1
소개팅 성공률 높은 사람 부러워요	소개팅 잘 성공하는 사람 완전 부러워	1
새로운 사람을 만나기엔 미팅만한 게 없죠	미팅이 새로운 사람 만나기엔 좋지	1
미팅하는 거 좋아해요?	미팅 좋아해?	1
짝사랑하던 사람을 막상 사귀니깐 별로더라구요	짝사랑하다가 막상 사귀니깐 별로더라	1
짝사랑하면 티 많이 나는 편이에요?	넌 짝사랑 하면 잘 티나는 편이야?	1
혼자 좋아할 때의 설렘을 잊을 수가 없네요	혼자 좋아하면서 느꼈던 설레는 느낌을 잊을 수 없어	1
전 부모님이랑 같이 살지는 않지만 자주 연락해요	난 부모님이랑 살지는 않는데 연락은 자주 하는 편이야	1
부모님이랑 같이 살아요?	부모님이랑 같이 살아?	1
부모님한테 잘해야죠	엄마 아빠한테 잘해	1
저도 사람 때문에 상처받은 적 많아요	나도 인간관계 때문에 상처받은 적 많아	1
인간관계 때문에 힘들어요?	사람 관계 때문에 힘들어?	1
다른 사람 얘기에 너무 신경쓰지 말아요	다른 사람들이 하는 소리에 신경쓰지 마	1
다른 사람들은 그냥 무시해요	딴 사람들은 걍 무시해	1
사람마다 생각하는 관점이 다른 거니깐요	사람마다 생각하는 관점이 다르잖아	1
오랜만에 보니 반갑네요	오랜만이다 반갑네	1
오랜만이네요 잘 지냈어요?	오랜만이야 잘 지냈니?	1
오랫동안 가끔 연락하는 사이도 소중한 사람이에요	오랜 기간 동안 가끔 연락하는 관계도 소중한 관계야	1
전 취미가 너무 없어서 문제에요	난 취미가 없어서 문제임	1
취미가 뭐에요?	넌 취미가 뭐야?	1
그냥 취미로 하는 거에요	걍 취미지 뭐	1
전 무교에요	난 종교 없어	1
믿고 있는 종교 있어요?	넌 믿고 있는 종교 같은 거 있어?	1
오늘 아침은 유난히도 피곤하네요	오늘 아침은 왜이리 피곤한거지	1
전 원래 일찍 일어나는 편이에요	나 원래 일찍 일어나	1
이제 일어났어요	지금 일어남	1
왜 벌써 일어났어요?	왜이리 일찍 일어났어?	1
자다 일어난 거에요?	자다 일어난 거야?	1
일찍 일어나는 새가 피곤하죠..	일찍 일어나는 새가 피곤한 법이지 ㅋㅋ	1
어제 꿈에 당신이 나왔어요	어제 꿈에서 너가 나오더라고	1
잘 때 꿈 자주 꾸는 편이에요?	넌 자면서 꿈 자주 꾸는 편이야?	1
잘 때 꿈을 꾸는 것이 더 건강하다고 하네요	잘 때 꿈꾸는 게 더 건강한 거래	1
전 아침은 꼭 챙겨먹는 편이에요	아침은 꼭 챙겨먹는 편이야	1
아침은 먹은 거에요?	아침 먹었어?	1
아침은 든든하게 먹어야죠	아침은 든든히 먹어야지	1
오늘도 회사 가기 정말 싫네요	오늘도 회사 가기 진짜 싫다	1
출근하자마자 회의 중이에요	출근하자마자 회의 중	1
직장 다니세요?	회사원이야?	1
저도 출근해야죠	나도 이제 출근해야지	1
출근 잘 했어요?	출근은 잘 했니?	1
왜 출근길은 늘 지옥일까요?	왜 출근길은 항상 이렇게 지옥같은 걸까	1
오늘 하루도 화이팅 하세요	오늘도 화이팅이다	1
어릴 때는 학교 가기 싫어서 꾀병도 많이 부렸는데..	난 어렸을 때 학교 가기 싫어서 꾀병 부린 적 많아	1
지금 학교 가는 중이에요	지금 학교 가는 중이야	1
지금 학교 가고 있어요?	학교 가고 있는 거야?	1
꼭 학교 가는 중에 잊어버린 준비물이 생각나더라고요	꼭 학교 가다가 잊어버린 준비물이 생각나더라	1
메뉴 고르는 건 하루 중 최대의 고민이에요	하루 중에 제일 고민이 메뉴 고르는 거지	1
그냥 대충 때웠어요	걍 대충 때웠지 뭐	1
가장 즐겨먹는 점심 메뉴가 뭐에요?	가장 좋아하는 점심 메뉴가 뭐야?	1
점심 먹고나서 가볍게 산책 해보는건 어때요?	점심 먹고나서 가볍게 산책 어때	1
벌써 졸리네요 아직 하루가 많이 남았는데...	하루가 얼마나 지났다고 벌써 졸리지..	1
졸릴 땐 잠깐 자고 다시 힘내요	졸리면 잠깐 자고 다시 힘내자	1
전 간식 별로 안좋아해요	난 간식 별루야	1
갑자기 달달한 게 땡기네요	급 달달한게 엄청 땡기네	1
어떤 간식을 제일 좋아해요?	어떤 간식을 제일 좋아해?	1
일하다가 당떨어졌을 때 간식같은거 먹으면 좋죠	일하다 당 떨어지면 간식 같은 거 먹으면 좋지	1
저녁엔 주로 친구들이랑 약속을 잡는 편이에요	저녁엔 보통 친구들이랑 약속을 잡는 편이야	1
저녁엔 매운 음식을 먹어야겠어요	저녁엔 매운 걸 먹어야 겠어	1
이제 먹으려구요	지금 먹을라고	1
저녁에 술 한 잔 할까요?	저녁에 술 한잔 어때?	1
저녁에 뭐해요?	저녁에 뭐해	1
저녁 챙겨먹고 일 끝나면 연락해요	저녁 먹고 퇴근할 때 연락행	1
전 집 가는 길에 군것질하는걸 좋아해요	난 집 가다가 군것질하는 거 좋아함	1
집가는 길이에요	집 가는 길임	1
수업 언제 끝나요?	수업 언제 끝이야?	1
수업 끝나고 집 가는 길이에요?	수업 끝나고 집가는 중이야?	1
퇴근길에 소주 한잔 하려구요	퇴근하다가 소주 한잔 하려고	1
퇴근하다가 잠깐 만날까요?	퇴근하다가 얼굴 잠깐 볼까?	1
빠른 퇴근과 높은 월급이 최고의 복지죠	퇴근 빨리하고 월급 많이 주는게 최고의 복지지	1
저녁은 푸짐하게 먹는걸 좋아해요	저녁은 배부르게 먹는 걸 좋아해	1
오늘 저녁은 매운 걸 먹어야겠어요	오늘 저녁에는 매운 걸 먹어야겠어	1
오늘 저녁 뭐먹으면 좋을까요?	저녁에 뭐먹을까?	1
저녁 뭐 먹었어요?	저녁 뭐먹음?	1
회식 정말 싫어요 왜 밥까지 업무를 해야하는건지..	회식 극혐이다 왜 업무를 밥까지 해야하는 걸까	1
오늘 회식이에요?	오늘 회식해?	1
요즘 회식은 주로 목요일에 하지 않아요?	요즘엔 목요일에 회식하지 않아?	1
하 역시 오늘도 야식을 먹어야겠어요	오늘도 야식을 먹어야 겠어	1
야식 뭐 좋아해요?	야식 뭐 좋아해?	1
야식을 먹을까 고민하는 시간에 빨리 시켜요	고민하지 말고 야식 빨리 시켜	1
야식은 역시 족발이죠	야식은 뭐니뭐니해도 족발이지	1
피곤해서 일찍 자려구요	피곤해서 일찍 잘라고	1
평소에 몇 시간 정도 자는 편이에요?	평소에 얼마나 자는 편이야?	1
오늘도 편안한 밤 되세요	오늘도 편안한 밤 되렴 ㅎㅎ	1
